,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,08:45.0,2020,2960623488,30-03-2020,10-04-2020,31-03-2020,CA10,2309.79,0-15
1,U001,200744019,TARG us,12:54.0,2020,1930659387,19-03-2020,03-04-2020,19-03-2020,NAA8,11173.02,0-15
2,U001,200418007,AM ,50:49.3,2020,1930610806,11-03-2020,26-03-2020,11-03-2020,NAA8,3525.59,0-15
3,U001,200739534,OK systems,46:35.7,2020,1930788296,15-04-2020,30-04-2020,15-04-2020,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,45:00.1,2020,1930817482,23-04-2020,26-04-2020,16-04-2020,NAM2,3726.06,Less than 0
5,U001,200744019,TARG associates,06:05.1,2020,1930676042,21-03-2020,05-04-2020,21-03-2020,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,19:27.5,2020,2960618790,06-03-2020,16-03-2020,06-03-2020,CA10,64982.589,16-30
7,U001,200337148,COAS llc,52:47.9,2020,1930592246,02-03-2020,17-03-2020,02-03-2020,NAA8,11380.83,0-15
8,U001,200794332,COST associates,49:03.7,2020,1930731070,07-04-2020,22-04-2020,07-04-2020,NAAX,3863.93,Less than 0
9,U001,200794332,COST llc,31:46.9,2020,1930803605,23-04-2020,08-05-2020,23-04-2020,NAAX,74453.01,0-15
10,U001,200803720,DEC corp,47:12.8,2020,1930698352,25-03-2020,08-04-2020,16-03-2020,NAM4,138.6,Less than 0
11,U001,200794332,COST co,55:06.6,2020,1930647189,13-03-2020,28-03-2020,13-03-2020,NAAX,32715.47,Less than 0
12,U001,200020431,DEC us,38:47.8,2020,1930861637,06-05-2020,24-05-2020,01-05-2020,NAM4,174.72,Less than 0
13,U001,200769623,WAL-MAR associates,07:48.2,2020,1930635649,12-03-2020,27-03-2020,12-03-2020,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,13:18.0,2020,2960624627,27-03-2020,10-04-2020,31-03-2020,CA10,1980.72,16-30
15,U001,200769623,WAL-MAR ,50:16.8,2020,1930577078,28-02-2020,14-03-2020,28-02-2020,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,04:47.9,2020,1930774741,10-04-2020,25-04-2020,10-04-2020,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,30:01.5,2020,1930765053,09-04-2020,24-04-2020,09-04-2020,NAU5,174766.36,0-15
18,U001,200900909,SYSCO systems,31:28.7,2020,1930645969,13-03-2020,14-04-2020,13-03-2020,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,11:17.0,2020,1930718081,30-03-2020,14-04-2020,30-03-2020,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,10:32.4,2020,1930788667,16-04-2020,01-05-2020,16-04-2020,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,23:27.6,2020,1930709919,29-03-2020,13-04-2020,29-03-2020,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,51:36.6,2020,1930752568,06-04-2020,21-04-2020,06-04-2020,NAH4,11394.84,0-15
23,CA02,140105847,GORDON F co,01:25.5,2020,2960627274,08-04-2020,18-04-2020,08-04-2020,CA10,2579.64,0-15
24,U001,200744019,TARG foundation,32:56.7,2020,1930648342,15-03-2020,30-03-2020,15-03-2020,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,09:00.7,2020,1930632791,10-03-2020,25-03-2020,10-03-2020,NAH4,14994.01,0-15
26,U001,200769623,WAL-MAR llc,26:36.6,2020,1930617194,06-03-2020,21-03-2020,06-03-2020,NAH4,36.06,0-15
27,U001,200418007,AM in,04:59.7,2020,1930752243,06-04-2020,21-04-2020,06-04-2020,NAA8,25836.19,0-15
28,U001,200739006,AL foundation,59:24.5,2020,1930768064,15-04-2020,30-04-2020,15-04-2020,NAA8,4309.05,0-15
29,U001,100031704,DELHAIZE associates,45:36.8,2020,1930789873,15-04-2020,30-04-2020,15-04-2020,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,02:23.5,2020,1930705172,28-03-2020,12-04-2020,28-03-2020,NAH4,3403.8,0-15
31,U001,200744019,TARG systems,56:42.5,2020,1930620634,10-03-2020,14-05-2020,10-03-2020,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,51:59.6,2020,1930676002,21-03-2020,05-04-2020,21-03-2020,NAH4,7280.51,0-15
33,U001,200726979,BJ'S  corporation,56:50.2,2020,1930585378,02-03-2020,17-03-2020,02-03-2020,NAA8,13681.7,0-15
34,U001,200706844,WINC associates,16:30.2,2020,1930773419,07-04-2020,22-04-2020,07-04-2020,NAA8,33947.85,0-15
35,U001,200793830,M llc,59:33.3,2020,1930767747,08-04-2020,23-04-2020,08-04-2020,NAA8,4537.14,0-15
36,U001,200769623,WAL-MAR foundation,17:45.7,2020,1930750455,06-04-2020,21-04-2020,06-04-2020,NAH4,14355.96,0-15
37,U001,200769623,WAL-MAR systems,40:42.1,2020,1930738904,03-04-2020,18-04-2020,03-04-2020,NAH4,367.71,0-15
38,U001,200769623,WAL-MAR trust,30:39.6,2020,1930862467,06-05-2020,21-05-2020,06-05-2020,NAH4,56284.77,0-15
39,U001,200769623,WAL-MAR systems,29:20.8,2020,1930582162,29-02-2020,15-03-2020,29-02-2020,NAH4,50493.86,0-15
40,U001,200769623,WAL-MAR llc,33:54.2,2020,1930802490,21-04-2020,06-05-2020,21-04-2020,NAH4,15489.43,0-15
41,CA02,140104423,METRO  llc,50:37.2,2020,2960617050,27-02-2020,11-03-2020,01-03-2020,CA10,93179.352,16-30
42,U001,200726979,BJ'S  systems,06:42.5,2020,1930801417,19-04-2020,04-05-2020,19-04-2020,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,14:26.4,2020,1930660304,16-03-2020,20-05-2020,16-03-2020,NAGD,3826.03,0-15
44,U001,200752302,KROGER trust,16:50.2,2020,1930733767,02-04-2020,17-04-2020,02-04-2020,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,18:31.4,2020,2960633120,06-05-2020,18-05-2020,08-05-2020,CA10,43230.299,0-15
46,U001,200711029,WEGMAN corp,48:29.0,2020,1930742932,03-04-2020,18-04-2020,03-04-2020,NAA8,14382.22,16-30
47,CA02,CCU001,KRAFT  corporation,41:37.6,2020,2960622220,20-03-2020,27-04-2020,23-03-2020,NAG2,17828.069,0-15
48,U001,200769623,WAL-MAR llc,13:58.8,2020,1930804924,21-04-2020,06-05-2020,21-04-2020,NAH4,35509.95,0-15
49,U001,200769623,WAL-MAR associates,15:38.6,2020,1930746955,05-04-2020,20-04-2020,05-04-2020,NAH4,13512.61,0-15
50,U001,200772670,ASSOCIAT corp,40:12.7,2020,1930698156,24-03-2020,08-04-2020,24-03-2020,NAU5,24421.33,0-15
51,U001,200769623,WAL-MAR co,14:49.5,2020,1930801200,19-04-2020,04-05-2020,19-04-2020,NAH4,11217.33,0-15
52,U001,200769623,WAL-MAR systems,09:38.5,2020,1930776682,13-04-2020,28-04-2020,13-04-2020,NAH4,12554.13,0-15
53,U001,200720238,WOODM co,30:57.3,2020,1930858727,06-05-2020,21-05-2020,06-05-2020,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,22:49.9,2020,2960631200,25-04-2020,05-05-2020,25-04-2020,CA10,28537.684,16-30
55,U001,200769623,WAL-MAR us,53:44.6,2020,1930653060,15-03-2020,30-03-2020,15-03-2020,NAH4,50202.83,0-15
